Hours	De-Aar	Pretoria	Springbok	Upington
956	864	789	925	903
957	864	789	925	903
958	864	789	925	903
959	863	789	924	903
960	863	788	924	903
961	863	788	924	903
962	863	788	924	902
963	863	788	924	902
964	863	788	924	902
965	863	788	923	902
966	862	788	923	902
967	862	787	923	901
968	862	787	923	900
969	862	787	923	900
970	862	787	923	900
971	862	787	922	900
972	862	787	922	899
973	862	787	922	899
974	861	787	922	899
975	861	787	922	899
976	861	786	922	899
977	861	786	922	898
978	861	786	921	898
979	861	786	921	898
980	861	785	921	898
981	860	785	921	897
982	860	784	920	897
983	860	784	920	897
984	860	784	920	897
985	859	784	920	897
986	859	784	920	896
987	859	784	920	896
988	859	784	920	895
989	859	784	920	895
990	859	784	919	895
991	859	783	919	895
992	858	783	919	895
993	858	783	919	895
994	858	783	918	895
995	858	783	918	894
996	858	782	918	894
997	858	782	917	894
998	858	782	917	894
999	857	781	917	893
1000	857	781	917	893
1001	857	781	917	893
1002	857	781	917	893
1003	857	780	916	893
1004	856	780	916	893
1005	856	780	916	892
1006	856	780	915	892
1007	856	780	915	892
1008	856	779	915	892
1009	855	778	915	892
1010	855	777	914	892
1011	854	777	914	892
1012	854	777	914	891
1013	854	777	914	891
1014	853	776	914	891
1015	853	776	913	891
1016	852	776	913	891
1017	852	776	913	891
1018	852	776	913	891
1019	852	775	913	891
1020	851	775	913	890
1021	851	775	913	890
1022	851	775	913	890
1023	851	775	912	890
1024	851	775	912	889
1025	851	775	912	889
1026	850	774	911	889
1027	850	774	911	889
1028	850	774	911	888
1029	850	774	911	888
1030	850	774	911	888
1031	849	773	911	888
1032	849	773	910	888
1033	849	773	910	888
1034	849	772	910	888
1035	849	772	910	888
1036	849	772	909	888
1037	849	772	909	887
1038	848	772	909	887
1039	848	772	909	887
1040	848	771	909	887
1041	848	771	909	887
1042	848	771	908	887
1043	847	771	908	887
1044	847	770	908	886
1045	847	770	908	886
1046	847	770	908	886
1047	846	770	908	886
1048	846	770	908	885
1049	846	770	907	885
1050	846	770	907	885
1051	846	770	907	884
1052	846	770	907	884
1053	846	769	907	884
1054	846	769	907	884
1055	846	769	907	884
1056	845	769	906	884
1057	845	768	906	884
1058	845	768	906	884
1059	844	768	906	884
1060	844	768	905	883
1061	844	767	905	883
1062	844	766	905	883
1063	844	766	905	883
1064	844	766	905	883
1065	844	766	904	883
1066	843	765	904	882
1067	843	765	904	882
1068	843	765	904	882
1069	843	764	904	882
1070	843	764	904	882
1071	843	764	903	882
1072	842	763	903	881
1073	842	763	903	881
1074	842	763	902	881
1075	841	762	902	880
1076	841	762	902	880
1077	841	762	902	880
1078	841	761	902	880
1079	841	761	902	879
1080	841	760	901	879
1081	841	760	901	879
1082	841	760	901	879
1083	841	760	900	879
1084	841	760	900	879
1085	841	759	900	879
1086	840	759	900	879
1087	840	758	900	879
1088	840	758	900	879
1089	840	757	900	879
1090	840	757	900	878
1091	840	757	899	878
1092	840	757	899	878
1093	840	757	899	878
1094	840	756	899	877
1095	839	755	898	877
1096	839	755	898	877
1097	839	755	897	877
1098	838	755	897	876
1099	838	755	897	876
1100	838	755	897	876
1101	838	754	896	876
1102	838	753	896	875
1103	838	753	895	875
1104	838	753	895	874
1105	838	753	895	874
1106	837	752	894	874
1107	837	752	894	874
1108	837	751	894	874
1109	836	751	894	873
1110	836	751	894	873
1111	836	751	892	873
1112	836	751	892	873
